code,province_code,name,latitude,longitude,population
01001,01,Alegría-Dulantzi,42.829133,-2.511082,2955
01002,01,Amurrio,43.025656,-2.971893,10364
01003,01,Aramaio,43.045986,-2.593635,1354
01004,01,Artziniega,43.129709,-3.141468,1868
01006,01,Armiñón,42.714114,-2.873388,236
01008,01,Arratzua-Ubarrundia,42.924263,-2.614329,1056
01009,01,Asparrena,42.894243,-2.316004,1609
01010,01,Ayala,43.075491,-3.078275,2921
01011,01,"Baños de Ebro",42.522752,-2.674931,286
01013,01,Barrundia,42.911724,-2.492898,882
01014,01,Berantevilla,42.686978,-2.833259,461
01016,01,Bernedo,42.693996,-2.523656,541
01017,01,Campezo,42.686656,-2.360893,1073
01018,01,Zigoitia,42.968682,-2.730703,1845
01019,01,Kripan,42.595191,-2.514512,174
01020,01,Kuartango,42.895791,-2.935609,402
01021,01,Elburgo,42.865049,-2.547202,642
01022,01,Elciego,42.507301,-2.624871,971
01023,01,Elvillar,42.562056,-2.540554,315
01027,01,Iruraiz-Gauna,42.822721,-2.476186,559
01028,01,Labastida,42.605498,-2.808648,1558
01030,01,Lagrán,42.621238,-2.608383,177
01031,01,Laguardia,42.548615,-2.57377,1459
01032,01,Lanciego,42.544119,-2.499927,700
01033,01,"Lapuebla de Labarca",42.494685,-2.570271,895
01034,01,Leza,42.571238,-2.637456,205
01036,01,Laudio,43.138435,-2.977702,18077
01037,01,Arraia-Maeztu,42.749115,-2.445247,812
01039,01,"Moreda de Álava",42.527432,-2.415037,218
01041,01,Navaridas,42.539709,-2.631429,192
01042,01,Okondo,43.168488,-3.01793,1184
01043,01,Oyón-Oion,42.544564,-2.43285,3476
01044,01,Peñacerrada-Urizaharra,42.638315,-2.700545,332
01046,01,Erriberagoitia,42.802459,-2.925123,839
01047,01,Erriberabeitia,42.724491,-2.90276,1477
01049,01,Añana,42.813738,-2.991616,141
01051,01,Agurain,42.838436,-2.387136,5189
01052,01,Samaniego,42.57059,-2.673529,292
01053,01,"San Millán",42.878962,-2.392889,701
01054,01,Urkabustaiz,42.96625,-2.920898,1470
01055,01,Valdegovía,42.864068,-3.128328,1064
01056,01,Harana,42.757209,-2.318377,212
01057,01,"Villabuena de Álava",42.541321,-2.661427,276
01058,01,Legutio,42.982907,-2.647784,2094
01059,01,Vitoria-Gasteiz,42.850314,-2.687872,260699
01060,01,Yécora,42.555516,-2.468706,278
01061,01,Zalduondo,42.900261,-2.343905,195
01062,01,Zambrana,42.657295,-2.822157,452
01063,01,Zuia,42.984385,-2.835889,2350
01901,01,"Iruña Oka",42.82652,-2.819432,3704
01902,01,Lantarón,42.755407,-3.013977,929
02001,02,Abengibre,39.214544,-1.539007,753
02002,02,Alatoz,39.079709,-1.370423,504
02003,02,Albacete,38.955979,-1.891562,175400
02004,02,Albatana,38.57611,-1.515873,644
02005,02,Alborea,39.291736,-1.385945,672
02006,02,Alcadozo,38.66248,-2.056675,635
02007,02,"Alcalá del Júcar",39.185715,-1.402806,1130
02008,02,Alcaraz,38.718918,-2.530805,1283
02009,02,Almansa,38.841047,-1.090253,24615
02010,02,Alpera,38.988695,-1.27355,2278
02011,02,Ayna,38.56508,-2.104971,577
02012,02,Balazote,38.886979,-2.137618,2356
02013,02,"Balsa de Ves",39.262327,-1.209909,121
02014,02,"El Ballestero",38.844424,-2.47576,411
02015,02,Barrax,39.033024,-2.204863,1838
02016,02,Bienservida,38.530103,-2.647611,548
02017,02,Bogarra,38.583491,-2.234433,727
02018,02,Bonete,38.888049,-1.30856,950
02019,02,"El Bonillo",38.940426,-2.583619,2645
02020,02,Carcelén,39.106204,-1.288194,483
02021,02,"Casas de Juan Núñez",39.097268,-1.574882,1409
02022,02,"Casas de Lázaro",38.755784,-2.228983,298
02023,02,"Casas de Ves",39.249132,-1.300837,519
02024,02,Casas-Ibáñez,39.311926,-1.458787,4616
02025,02,Caudete,38.708074,-1.010041,10439
02026,02,Cenizate,39.298196,-1.660521,1163
02027,02,Corral-Rubio,38.811233,-1.440529,303
02028,02,Cotillas,38.422891,-2.501169,123
02029,02,"Chinchilla de Monte-Aragón",38.875934,-1.636321,4614
02030,02,"Elche de la Sierra",38.454634,-2.095643,3603
02031,02,Férez,38.386587,-1.946203,604
02032,02,Fuensanta,39.2405,-2.06865,282
02033,02,Fuente-Álamo,38.708479,-1.457958,2422
02034,02,Fuentealbilla,39.249781,-1.567881,1804
02035,02,"La Gineta",39.111126,-1.997726,2656
02036,02,Golosalvo,39.236577,-1.63594,79
02037,02,Hellín,38.461899,-1.673079,30836
02038,02,"La Herrera",38.944735,-2.103128,308
02039,02,Higueruela,38.966378,-1.42904,1133
02040,02,Hoya-Gonzalo,38.960873,-1.562489,582
02041,02,Jorquera,39.160348,-1.545652,356
02042,02,Letur,38.319292,-2.130824,911
02043,02,Lezuza,38.952336,-2.308213,1281
02044,02,Liétor,38.544762,-1.936235,1052
02045,02,Madrigueras,39.233718,-1.814327,4670
02046,02,Mahora,39.204805,-1.716527,1465
02047,02,Masegoso,38.722695,-2.313756,117
02048,02,Minaya,39.221278,-2.315424,1381
02049,02,Molinicos,38.491877,-2.291718,754
02050,02,Montalvos,39.170648,-2.031729,74
02051,02,"Montealegre del Castillo",38.764057,-1.307266,2051
02052,02,Motilleja,39.170304,-1.776727,673
