code,region_code,name,latitude,longitude
01,16,Álava,42.770962,-2.678752
02,08,Albacete,38.883469,-1.9107
03,10,Alicante,38.544208,-0.437731
04,01,Almería,37.146963,-2.423142
05,07,Ávila,40.625906,-4.983274
06,11,Badajoz,38.68334,-6.151783
07,04,"Illes Balears",39.621045,2.93226
08,09,Barcelona,41.682371,2.028695
09,07,Burgos,42.247503,-3.59614
10,11,Cáceres,39.831506,-6.089745
11,01,Cádiz,36.598899,-5.700994
12,10,Castellón,40.158565,-0.213302
13,08,"Ciudad Real",38.910806,-3.78131
14,01,Córdoba,37.897245,-4.739241
15,12,"A Coruña",43.139054,-8.459196
16,08,Cuenca,39.933264,-2.220559
17,09,Girona,42.132405,2.767623
18,01,Granada,37.177778,-3.427366
19,08,Guadalajara,40.815944,-2.707651
20,16,Gipuzkoa,43.143633,-2.165273
21,01,Huelva,37.628836,-6.791752
22,02,Huesca,42.158997,-0.031165
23,01,Jaén,37.982801,-3.462514
24,07,León,42.534306,-5.796585
25,09,Lleida,41.886547,1.015415
26,17,"La Rioja",42.341059,-2.614397
27,12,Lugo,43.051408,-7.437708
28,13,Madrid,40.546998,-3.692065
29,01,Málaga,36.793892,-4.663417
30,14,Murcia,37.993462,-1.331473
31,15,Navarra,42.697641,-1.734311
32,12,Ourense,42.226712,-7.723025
33,03,Asturias,43.346129,-5.971865
34,07,Palencia,42.311755,-4.54068
35,05,"Las Palmas",28.28681,-14.900327
36,12,Pontevedra,42.379354,-8.575987
37,07,Salamanca,40.796676,-5.95958
38,05,"Santa Cruz de Tenerife",28.364621,-17.051101
39,06,Cantabria,43.268591,-3.947076
40,07,Segovia,41.191519,-4.041745
41,01,Sevilla,37.40197,-5.729999
42,07,Soria,41.674032,-2.521499
43,09,Tarragona,41.162594,0.974753
44,02,Teruel,40.686638,-0.853897
45,08,Toledo,39.890872,-4.262585
46,10,Valencia,39.290162,-0.5505
47,07,Valladolid,41.651399,-4.825457
48,16,Bizkaia,43.268797,-2.8098
49,07,Zamora,41.728814,-5.860856
50,02,Zaragoza,41.559358,-1.27322
51,18,Ceuta,35.893599,-5.342898
52,19,Melilla,35.291046,-2.950462
